Modelo,Nugget,Meseta parcial,Sill total,Rango práctico (m),Rango práctico (km),RMSE,MAE,R²,RSS,AIC,Seleccionado
Gaussiano,2747.4656665925772,3285.084797115287,6032.550463707865,140141.8152693702,140.14181526937023,183.1147711379941,148.51995562972,0.7521028326129318,502965.2911337994,162.3033936283299,Sí
Esférico,2530.088888037423,2157.042970266009,4687.131858303432,140141.81526935,140.14181526935,196.30872972623598,160.9367047855333,0.7150924009207548,578056.7605009255,164.39065714934313,No
Exponencial,2429.6684953206486,1690.9137168794946,4120.582212200143,140141.8152693698,140.1418152693698,210.85801702941916,171.379434781873,0.6712959590086107,666916.5501836824,166.53555005699965,No
