Parámetro,Valor
Número de anomalías,283
Malla de cuadrantes,4 x 4
Chi-cuadrado observado,510.95
Chi-cuadrado simulado (media),211.52
Chi-cuadrado simulado (percentil 95),244.68
Chi-cuadrado simulado (máximo),275.87
Número de simulaciones CSR,999
Pseudo valor p,0.0010
Interpretación (α = 0.05),Se rechaza la CSR: las anomalías están significativamente concentradas
