Parámetro,Valor
Número de anomalías,283
Área de análisis,"6,366.1 km²"
Densidad de anomalías,0.0445 anomalías/km²
Distancia media observada,"1,067.73 m"
Distancia media esperada (CSR),"2,371.44 m"
Índice R de Clark y Evans,0.4502
Estadístico Z,-17.69
Valor p,0
Interpretación (α = 0.05),Patrón significativamente agrupado (R < 1)
