Parámetro,Valor
Umbral aplicado,Cu >= 150 ppm
Muestras evaluadas,"2,029"
Anomalías (I = 1),283
Fondo geoquímico (I = 0),"1,746"
Porcentaje de anomalías,13.95 %
Rango de Cu en las anomalías,"150 – 1,000 ppm"
