Parámetro,Valor
Número de anomalías,283
Tipo de kernel,Gaussiano
Método del ancho de banda,Regla de Scott
Factor de Scott,0.3903
Ancho de banda Este,"10,141 m"
Ancho de banda Norte,"12,936 m"
Ancho de banda promedio,"11,453 m"
Resolución de la malla,300 x 300
Tamaño de celda promedio,411 m
