cu_media_ppm,Ii,E_Ii,Var_Ii,Z_Ii,p_value,Tipo_cluster,Cluster_LISA
70.0,0.051941989598341336,-0.0015337423312883434,0.1639322759625387,1.7793194043148621,0.016,LL,LL
15.0,1.0370869114961387,-0.0015337423312883436,0.32937342815583553,1.4769702894297547,0.037,LL,LL
233.33333333333334,6.48273103364203,-0.0015337423312883436,0.24665285205918713,3.787431949696005,0.002,HH,HH
200.0,6.01150320564877,-0.0015337423312883436,0.32937342815583553,3.854196310638903,0.002,HH,HH
150.0,4.4118804336003405,-0.0015337423312883436,0.991138036929023,2.7102888593998156,0.034,HH,HH
150.0,0.46274180504267076,-0.0015337423312883436,0.32937342815583553,0.4736537151835902,0.272,HH,No significativo
50.0,-0.3096718817568383,-0.0015337423312883436,0.24665285205918713,-1.215944221352886,0.123,LH,No significativo
50.0,0.19557692891819306,-0.0015337423312883436,0.4948145803491324,0.5997242520783393,0.315,LL,No significativo
100.0,0.0800480175108482,-0.0015337423312883436,0.32937342815583553,0.22682035047167612,0.373,HH,No significativo
70.0,-0.009159967990432168,-0.0015337423312883436,0.1970205064011981,-0.2887337719102834,0.35,LH,No significativo
60.0,0.036687960317711626,-0.0015337423312883434,0.1639322759625387,0.3183866974281476,0.409,LL,No significativo
11.0,1.0182826129917144,-0.0015337423312883436,0.32937342815583553,1.351710204621603,0.057,LL,No significativo
