,elevacion_media_m,relieve_m,distancia_falla_m,densidad_fallas_km_km2
elevacion_media_m,1.0,0.39217810868738207,0.24743668786634915,-0.1583861493943636
relieve_m,0.39217810868738207,1.0,0.1926445530254423,-0.1449503147406418
distancia_falla_m,0.24743668786634915,0.1926445530254423,1.0,-0.5751149918840744
densidad_fallas_km_km2,-0.1583861493943636,-0.1449503147406418,-0.5751149918840744,1.0
